preprocessing,label,class_name,entropy,sobel_edge_energy,mean_intensity,std_intensity
raw,0,no_tumor,5.801837696895747,0.6960422710157241,0.20277604,0.21137172
raw,1,tumor,6.912170380843074,0.3587076724016554,0.29370022,0.20808156
raw,1,tumor,6.948293796883304,0.9346020451121522,0.4309963,0.25238755
raw,1,tumor,7.099884773550768,0.9220909861504089,0.40532827,0.26986468
raw,0,no_tumor,7.196201096694265,0.8610134530072123,0.38570416,0.21646556
raw,0,no_tumor,5.063293740424791,0.6927430434337768,0.1610737,0.1849254
raw,1,tumor,6.343812033819967,0.5892378338398897,0.25670764,0.23679435
raw,1,tumor,6.434891918108516,0.6517808542523598,0.22856829,0.19486733
raw,1,tumor,7.5281100828794765,1.1927249657719234,0.43248868,0.2806986
raw,0,no_tumor,2.775307417449258,1.0285906723729332,0.1372439,0.26786417
raw,0,no_tumor,6.139779939771039,0.35623993683510025,0.24758734,0.18638843
raw,0,no_tumor,6.214863527396108,0.4078016608685081,0.1706658,0.1633474
raw,1,tumor,6.850821202984901,0.6732310031602222,0.25931084,0.23113936
raw,1,tumor,4.938374355705824,0.5545750786025405,0.26212448,0.21899551
raw,1,tumor,5.752177698684477,0.669199875973022,0.19648463,0.20267569
raw,1,tumor,6.666294450675514,0.3599758449662396,0.24802296,0.2269284
raw,1,tumor,7.492930445866283,1.0163478136505453,0.41707933,0.25188565
raw,0,no_tumor,5.4181159297492965,0.25625134431913227,0.11631387,0.13889137
raw,0,no_tumor,5.85381646384476,0.319820661583585,0.15490651,0.16573791
raw,1,tumor,7.05549821382516,0.5109599905893816,0.27526185,0.21662302
raw,0,no_tumor,5.944057949111593,0.1466440565950914,0.18271556,0.1565244
raw,1,tumor,6.3441904285305055,0.1648781929784875,0.16600344,0.15430856
raw,1,tumor,6.139661164937293,0.8399499231136557,0.21975458,0.21373504
raw,1,tumor,6.078387068988872,0.2819470222713918,0.22730428,0.15484157
raw,0,no_tumor,6.186334264018137,0.33267179500232985,0.22314501,0.20247985
raw,0,no_tumor,6.273895059104,0.3833134118680377,0.22752064,0.19448932
raw,1,tumor,6.88481956864873,0.3517551460377528,0.29682118,0.27015734
raw,1,tumor,6.027476743654945,0.7267147140700971,0.26081187,0.27834952
raw,0,no_tumor,6.863776092753207,0.7443827077253165,0.2943266,0.21887909
raw,1,tumor,6.775299311395051,0.39375366553458313,0.25348404,0.22899023
raw,1,tumor,6.089557471132027,0.43894046031201217,0.26706377,0.19360389
raw,1,tumor,6.201468778468432,0.159380635953148,0.15644509,0.15401703
raw,1,tumor,6.3049414681177876,0.45782712753367716,0.22629061,0.18605766
raw,0,no_tumor,5.260636540275643,1.1468471577422257,0.29974845,0.33551437
raw,0,no_tumor,4.998218164297171,0.8603482454144039,0.2601297,0.28944847
raw,1,tumor,6.587366242748859,0.8047087605581906,0.31739527,0.25057155
raw,1,tumor,5.373730450697206,0.21156680981939543,0.15478587,0.17581591
raw,1,tumor,5.758337024708092,0.23238928526221417,0.1930717,0.19176193
raw,1,tumor,5.761970676950396,0.5696821648566435,0.19420862,0.1936262
raw,1,tumor,5.742050431368783,0.4187050038938013,0.2617798,0.20417134
raw,0,no_tumor,4.0587424160239145,0.6835163458109829,0.14162455,0.22966498
raw,0,no_tumor,6.00063986418405,0.29523252246804776,0.15911411,0.15499957
raw,0,no_tumor,5.776949984655831,0.24904684324909565,0.21171565,0.112305745
raw,0,no_tumor,5.184079596971125,0.6319775214691902,0.21946113,0.20788077
raw,1,tumor,6.097280672189559,0.2976251162122937,0.15770815,0.17551668
ghe,1,tumor,6.514945143199414,1.1660232742863883,0.43861756,0.31699142
ghe,1,tumor,6.546882269082589,0.5995633942629008,0.4454662,0.30964565
ghe,1,tumor,5.808710558131475,0.7941850084489114,0.38918412,0.33229396
ghe,0,no_tumor,5.377399353690704,0.6465463652125552,0.5320693,0.26125658
ghe,0,no_tumor,5.266172893060408,0.6063697133574213,0.41922224,0.31541762
ghe,0,no_tumor,6.224198364173303,0.8707975404204461,0.50990593,0.26981172
ghe,0,no_tumor,4.986982269545536,0.6216315421314738,0.5601132,0.23055941
ghe,1,tumor,5.307575318409354,1.3889998279466043,0.346595,0.33495668
ghe,1,tumor,6.622502353894266,0.8510119294478121,0.5076567,0.28328255
ghe,0,no_tumor,4.895856149682309,0.40647344645042005,0.5519869,0.234527
ghe,1,tumor,5.406271573632091,0.9590428900415644,0.3198247,0.33477715
ghe,1,tumor,6.251611389330255,1.1037312633083478,0.5156669,0.27155226
ghe,1,tumor,6.4156915127797856,1.4570514798181096,0.5066782,0.28880215
ghe,0,no_tumor,5.848632064497817,0.4368534457046666,0.5178084,0.27383158
ghe,1,tumor,4.9886311627187245,0.7167581336612698,0.5558963,0.22734867
ghe,1,tumor,6.980720570854805,1.3588087050601745,0.46229824,0.30949166
ghe,1,tumor,6.472824762081324,0.8976287256711618,0.47301602,0.30640492
ghe,1,tumor,5.678213411886071,0.7941360996544606,0.53892124,0.24028778
ghe,1,tumor,6.796121416330248,0.48769736219885207,0.50549054,0.28476217
ghe,1,tumor,6.155299197246965,0.7217510916445229,0.5026945,0.2838522
ghe,0,no_tumor,5.246316067379458,0.8672047683828458,0.3831591,0.32724607
ghe,1,tumor,6.068992195609096,0.5001114717590777,0.5219514,0.2663585
ghe,0,no_tumor,5.640850550149728,0.42935710167399516,0.5180753,0.27294838
ghe,0,no_tumor,6.768451983725711,1.3084632877336055,0.5061454,0.28526384
ghe,1,tumor,6.685705885717847,1.0747190816410779,0.5058388,0.28805885
ghe,1,tumor,3.9533121013649906,0.37656330062960763,0.6292595,0.17199866
ghe,1,tumor,6.236445103604785,0.7539738962400759,0.5100057,0.27735612
ghe,0,no_tumor,5.750550182926973,0.5416580112134066,0.5170233,0.27647254
ghe,1,tumor,6.20179909909578,0.7629709518894634,0.44172028,0.31430566
ghe,0,no_tumor,6.736693229537861,0.8181284704912031,0.42894217,0.31912374
ghe,1,tumor,5.446322021231004,0.8046521937731059,0.5370151,0.24299122
